CustomerId,Apellido,CreditScore,Pais,Género,Edad,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Fecha,año,mes,dia,díanombre,days_difference
15634602.0,Hargrave,619,Francia,Mujer,,2,0.0,1.0,1,1,101348.88,1,1,2,DIAMOND,464,2024-08-01,2024,8,1,Jueves,213
15647311.0,Hill,608,España,Mujer,41.0,1,83807.86,1.0,0,1,112542.58,0,1,3,DIAMOND,456,2024-08-01,2024,8,1,Jueves,213
15619304.0,Onio,502,Francia,Mujer,42.0,8,159660.8,3.0,1,0,113931.57,,1,3,DIAMOND,377,2024-08-01,2024,8,1,Jueves,213
15701354.0,Boni,699,Francia,Mujer,39.0,1,0.0,2.0,0,0,93826.63,0,invalid_value,5,GOLD,350,2024-08-01,2024,8,1,Jueves,213
15737888.0,Mitchell,850,España,Mujer,,2,125510.82,1.0,1,1,invalid_value,0,0,5,GOLD,425,2024-08-01,2024,8,1,Jueves,213
15574012.0,Chu,645,España,Hombre,44.0,8,113755.78,2.0,1,0,149756.71,1,1,5,DIAMOND,484,2024-08-01,2024,8,1,Jueves,213
15592531.0,Bartlett,822,Francia,Hombre,50.0,7,0.0,2.0,1,1,10062.8,0,0,2,SILVER,206,2024-08-01,2024,8,1,Jueves,213
15656148.0,Obinna,376,Alemania,Mujer,29.0,4,115046.74,4.0,1,0,119346.88,1,1,2,DIAMOND,282,2024-08-01,2024,8,1,Jueves,213
15792365.0,He,501,Francia,Hombre,44.0,4,142051.07,2.0,0,1,74940.5,0,0,3,GOLD,251,2024-08-01,2024,8,1,Jueves,213
15592389.0,H?,684,invalid_value,Hombre,27.0,2,134603.88,1.0,1,1,71725.73,0,0,3,GOLD,invalid_value,2024-08-01,2024,8,1,Jueves,213
15767821.0,Bearce,528,Francia,Hombre,31.0,6,102016.72,2.0,0,0,80181.12,0,0,3,GOLD,264,2024-08-01,2024,8,1,Jueves,213
15737173.0,Andrews,497,España,Hombre,24.0,3,0.0,2.0,1,0,76390.01,0,0,3,GOLD,249,2024-08-01,2024,8,1,Jueves,213
15632264.0,Kay,476,Francia,Mujer,34.0,10,0.0,2.0,1,0,26260.98,0,0,3,SILVER,119,2024-08-01,2024,8,1,Jueves,213
15691483.0,Chin,549,Francia,Mujer,25.0,5,0.0,2.0,0,0,190857.79,0,0,3,PLATINUM,549,2024-08-01,2024,8,1,Jueves,213
15600882.0,,635,España,Mujer,35.0,7,0.0,2.0,1,1,65951.65,invalid_value,0,2,GOLD,318,2024-08-01,2024,8,1,Jueves,213
15643966.0,Goforth,616,,Hombre,45.0,3,143129.41,2.0,0,1,64327.26,0,0,5,GOLD,308,2024-08-01,2024,8,1,Jueves,213
15737452.0,Romeo,653,Alemania,Hombre,58.0,1,132602.88,1.0,1,0,invalid_value,1,0,2,SILVER,163,2024-08-01,2024,8,1,Jueves,213
15788218.0,Henderson,549,España,Mujer,24.0,9,0.0,2.0,1,1,14406.41,0,0,3,SILVER,544,2024-08-01,2024,8,1,Jueves,213
15661507.0,Muldrow,587,invalid_value,Hombre,45.0,6,0.0,1.0,0,0,158684.81,0,0,3,invalid_value,732,2024-08-01,2024,8,1,Jueves,213
15568982.0,Hao,726,Francia,Mujer,24.0,6,0.0,2.0,1,1,54724.03,0,0,4,GOLD,477,2024-08-01,2024,8,1,Jueves,213
15577657.0,McDonald,732,Francia,Hombre,41.0,8,0.0,2.0,1,1,170886.17,0,0,3,PLATINUM,568,2024-08-01,2024,8,1,Jueves,213
15597945.0,invalid_value,636,España,Mujer,32.0,8,0.0,2.0,1,0,138555.46,0,0,2,DIAMOND,336,2024-08-01,2024,8,1,Jueves,213
15699309.0,Gerasimov,510,España,Mujer,38.0,4,invalid_value,1.0,1,0,118913.53,1,1,2,DIAMOND,887,2024-08-01,2024,8,1,Jueves,213
15725737.0,Mosman,669,Francia,Hombre,46.0,3,0.0,2.0,0,1,8487.75,0,0,2,SILVER,665,2024-08-01,2024,8,1,Jueves,213
15625047.0,Yen,846,Francia,Mujer,38.0,5,0.0,1.0,1,1,187616.16,0,0,3,PLATINUM,225,2024-08-01,2024,8,1,Jueves,213
15738191.0,Maclean,577,Francia,Hombre,25.0,3,0.0,invalid_value,0,1,124508.29,0,0,3,PLATINUM,659,2024-08-01,2024,8,1,Jueves,213
15736816.0,Young,756,Alemania,Hombre,36.0,2,136815.64,1.0,1,1,170041.95,0,0,5,DIAMOND,236,2024-08-01,2024,8,1,Jueves,213
15700772.0,Nebechi,571,Francia,Hombre,44.0,9,0.0,2.0,0,0,38433.35,0,0,4,PLATINUM,448,2024-08-01,2024,8,1,Jueves,213
15728693.0,McWilliams,574,Alemania,Mujer,43.0,3,141349.43,1.0,1,1,100187.43,0,0,5,DIAMOND,499,2024-08-01,2024,8,1,Jueves,213
15656300.0,Lucciano,411,Francia,Hombre,29.0,0,59697.17,2.0,1,1,53483.21,0,0,2,GOLD,343,2024-08-01,2024,8,1,Jueves,213
15589475.0,Azikiwe,591,España,Mujer,39.0,3,0.0,3.0,1,0,140469.38,1,1,3,DIAMOND,298,2024-08-01,2024,8,1,Jueves,213
15706552.0,Odinakachukwu,533,Francia,Hombre,36.0,7,,1.0,0,1,156731.91,0,0,5,SILVER,628,2024-08-02,2024,8,2,Viernes,214
15750181.0,Sanderson,553,Alemania,Hombre,41.0,9,110112.54,2.0,0,0,81898.81,0,0,3,GOLD,611,2024-08-02,2024,8,2,Viernes,214
15659428.0,Maggard,520,España,Mujer,42.0,6,0.0,2.0,1,1,34410.55,0,0,2,SILVER,922,2024-08-02,2024,8,2,Viernes,214
15732963.0,Clements,722,España,Mujer,29.0,9,0.0,2.0,1,1,142033.07,0,0,5,PLATINUM,276,2024-08-02,2024,8,2,Viernes,214
15794171.0,Lombardo,475,Francia,Mujer,45.0,0,134264.04,1.0,1,0,27822.99,1,1,1,DIAMOND,877,2024-08-02,2024,8,2,Viernes,214
15788448.0,Watson,490,España,Hombre,31.0,3,145260.23,1.0,0,1,114066.77,0,0,4,SILVER,471,2024-08-02,2024,8,2,Viernes,214
15729599.0,Lorenzo,804,España,Hombre,,7,76548.6,1.0,0,1,invalid_value,0,0,2,GOLD,994,2024-08-02,2024,8,2,Viernes,214
15717426.0,Armstrong,850,Francia,Hombre,36.0,7,0.0,1.0,1,1,,0,0,3,GOLD,944,2024-08-02,2024,8,2,Viernes,214
15585768.0,Cameron,582,Alemania,Hombre,invalid_value,6,70349.48,2.0,0,1,178074.04,0,0,5,GOLD,419,2024-08-02,2024,8,2,Viernes,214
15619360.0,Hsiao,invalid_value,España,Hombre,40.0,4,0.0,1.0,1,0,70154.22,0,0,4,DIAMOND,545,2024-08-02,2024,8,2,Viernes,214
15738148.0,Clarke,465,Francia,Mujer,51.0,8,122522.32,1.0,0,0,181297.65,1,1,5,SILVER,828,2024-08-02,2024,8,2,Viernes,214
15687946.0,Osborne,556,Francia,Mujer,61.0,2,117419.35,1.0,1,1,94153.83,0,0,3,PLATINUM,789,2024-08-02,2024,8,2,Viernes,214
15755196.0,Lavine,834,,Mujer,49.0,2,131394.56,1.0,0,0,194365.76,1,1,2,GOLD,567,2024-08-02,2024,8,2,Viernes,214
15684171.0,Bianchi,660,España,Mujer,61.0,5,155931.11,1.0,1,1,158338.39,0,0,1,PLATINUM,884,2024-08-02,2024,8,2,Viernes,214
15754849.0,Tyler,776,Alemania,Mujer,32.0,4,109421.13,invalid_value,1,1,126517.46,0,0,1,SILVER,296,2024-08-02,2024,8,2,Viernes,214
